K - Grade 8 hot lunch - School Council
Time	Type	Vendor	Food Options	Price
2/6/2015	PIZZA	PIZZAVILLE	$3 for the 1st slice, $2 per additional slice	$2
2/13/2015	SUSHI	ASUKA SUSHI CAFE.	Avacado Roll(10 pieces)	$6
		ASUKA SUSHI CAFE.	Avacado & Cucumber Roll(10 pieces)	$6
		ASUKA SUSHI CAFE.	Cucumber roll (10 pieces)	$6
		ASUKA SUSHI CAFE.	Sweet potato noodles with veggies.	$6
2/20/2015	PIZZA	PIZZAVILLE	$3 for the 1st slice, $2 per additional slice	$2
2/27/2015	HOT SUB	MOTHER'S DELI	Grilled Chicken on a Bun	$5
		MOTHER'S DELI	Beef Meatballs Sub	$5
		MOTHER'S DELI	Ham & Cheese Pocket	$5
	Pizza	MOTHER'S DELI	Veggie & Cheese Pocket	$5
3/6/2015	PIZZA	PIZZAVILLE	$3 for the 1st slice, $2 per additional slice	$2
3/12/2015	PITA	EXTREME PITA	Sweet Chicken Little	$5
		EXTREME PITA	BBQ4U	$5
		EXTREME PITA	Plain Chicken	$5
		EXTREME PITA	Fee-Fi-Fo-Hummu	$5
3/27/2015	PIZZA	PIZZAVILLE	$3 for the 1st slice, $2 per additional slice	$2
4/2/2015	SUSHI	ASUKA SUSHI CAFE.	Avacado Roll(10 pieces)	$6
		ASUKA SUSHI CAFE.	Avacado & Cucumber Roll(10 pieces)	$6
		ASUKA SUSHI CAFE.	Cucumber roll (10 pieces)	$6
		ASUKA SUSHI CAFE.	Sweet potato noodles with veggies.	$6
4/10/2015	PIZZA	PIZZAVILLE	$3 for the 1st slice, $2 per additional slice	$2
4/17/2015	HOT SUB	MOTHER'S DELI	Grilled Chicken on a Bun	$5
		MOTHER'S DELI	Beef Meatballs Sub	$5
		MOTHER'S DELI	Ham & Cheese Pocket	$5
		MOTHER'S DELI	Veggie & Cheese Pocket	$5
4/24/2015	PIZZA	PIZZAVILLE	$3 for the 1st slice, $2 per additional slice	$2
5/1/2015	PITA	EXTREME PITA	Sweet Chicken Little	$5
		EXTREME PITA	BBQ4U	$5
		EXTREME PITA	Plain Chicken	$5
		EXTREME PITA	Fee-Fi-Fo-Hummu	$5
5/8/2015	PIZZA	PIZZAVILLE	$3 for the 1st slice, $2 per additional slice	$2
5/15/2015	SUSHI	ASUKA SUSHI CAFE.	Avacado Roll(10 pieces)	$6
		ASUKA SUSHI CAFE.	Avacado & Cucumber Roll(10 pieces)	$6
		ASUKA SUSHI CAFE.	Cucumber roll (10 pieces)	$6
		ASUKA SUSHI CAFE.	Sweet potato noodles with veggies.	$6
5/22/2015	PIZZA	PIZZAVILLE	$3 for the 1st slice, $2 per additional slice	$2
5/29/2015	HOT SUB	MOTHER'S DELI	Grilled Chicken on a Bun	$5
		MOTHER'S DELI	Beef Meatballs Sub	$5
		MOTHER'S DELI	Ham & Cheese Pocket	$5
		MOTHER'S DELI	Veggie & Cheese Pocket	$5
6/4/2015	PIZZA	PIZZAVILLE	$3 for the 1st slice, $2 per additional slice	$2
6/12/2015	PITA	EXTREME PITA	Sweet Chicken Little	$5
		EXTREME PITA	BBQ4U	$5
		EXTREME PITA	Plain Chicken	$5
		EXTREME PITA	Fee-Fi-Fo-Hummu	$5
6/19/2015	PIZZA	PIZZAVILLE	$3 for the 1st slice, $2 per additional slice	$2
